参数名,标准化参数名,参数英文名,类型,参数类型,接口名,接口类型,数据样例,出现频次,涉及接口数,取值范围,取值说明
50,50,,WR0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
51,51,,PB0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
52,52,,AG0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
53,53,,BU0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
54,54,,HC0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
55,55,,SN0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
56,56,,NI0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
57,57,,SP0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
58,58,,NR0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
59,59,,SS0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
6,6,,L0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
60,60,,LU0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
61,61,,BC0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
62,62,,IF0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
63,63,,TF0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
64,64,,IH0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
65,65,,IC0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
66,66,,TS0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
7,7,,PP0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
8,8,,FB0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
9,9,,BB0,输入参数,futures_main_sina; futures_contract_detail,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
contract,contract,contract,str,输入参数,futures_hold_pos_sina; futures_spot_sys,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
end_page,end_page,end_page,str,输入参数,bond_zh_hs_spot; amac_fund_info,债券数据; 中国基金数据,,2,2,未提供样本值,用于债券数据; 中国基金数据，出现在2个接口中
index,index,index,symbol,输入参数,futures_main_sina; stock_info_change_name,期货数据; 股票数据,,2,2,未提供样本值,用于期货数据，出现在1个接口中
path,path,path,str,输入参数,macro_china_nbs_nation; macro_china_nbs_region,中国宏观数据,,2,2,未提供样本值,用于中国宏观数据，出现在2个接口中
start_page,start_page,start_page,str,输入参数,bond_zh_hs_spot; amac_fund_info,债券数据; 中国基金数据,,2,2,未提供样本值,用于债券数据; 中国基金数据，出现在2个接口中
start_year,start_year,start_year,str,输入参数,stock_zh_ah_daily; stock_financial_analysis_indicator,股票数据,,2,2,未提供样本值,用于股票数据，出现在2个接口中
vars_list,vars_list,vars_list,list,输入参数,futures_dce_position_rank; futures_gfex_position_rank,期货数据,,2,2,未提供样本值,用于期货数据，出现在2个接口中
67,67,,IF0,输入参数,futures_contract_detail,期货数据,,1,1,未提供样本值,用于期货数据，出现在1个接口中
68,68,,TF0,输入参数,futures_contract_detail,期货数据,,1,1,未提供样本值,用于期货数据，出现在1个接口中
69,69,,IH0,输入参数,futures_contract_detail,期货数据,,1,1,未提供样本值,用于期货数据，出现在1个接口中
70,70,,IC0,输入参数,futures_contract_detail,期货数据,,1,1,未提供样本值,用于期货数据，出现在1个接口中
71,71,,TS0,输入参数,futures_contract_detail,期货数据,,1,1,未提供样本值,用于期货数据，出现在1个接口中
72,72,,IM0,输入参数,futures_contract_detail,期货数据,,1,1,未提供样本值,用于期货数据，出现在1个接口中
73,73,,SI0,输入参数,futures_contract_detail,期货数据,,1,1,未提供样本值,用于期货数据，出现在1个接口中
74,74,,LC0,输入参数,futures_contract_detail,期货数据,,1,1,未提供样本值,用于期货数据，出现在1个接口中
75,75,,PS0,输入参数,futures_contract_detail,期货数据,,1,1,未提供样本值,用于期货数据，出现在1个接口中
analyst_id,analyst_id,analyst_id,str,输入参数,stock_analyst_detail_em,股票数据,,1,1,未提供样本值,用于股票数据，出现在1个接口中
bond_code,bond_code,bond_code,str,输入参数,bond_info_cm,中国债券数据,,1,1,未提供样本值,用于中国债券数据，出现在1个接口中
bond_issue,bond_issue,bond_issue,str,输入参数,bond_info_cm,中国债券数据,,1,1,未提供样本值,用于中国债券数据，出现在1个接口中
bond_name,bond_name,bond_name,str,输入参数,bond_info_cm,中国债券数据,,1,1,未提供样本值,用于中国债券数据，出现在1个接口中
bond_type,bond_type,bond_type,str,输入参数,bond_info_cm,中国债券数据,,1,1,未提供样本值,用于中国债券数据，出现在1个接口中
category,category,category,str,输入参数,stock_zh_a_disclosure_report_cninfo,股票数据,,1,1,未提供样本值,用于股票数据，出现在1个接口中
city_first,city_first,city_first,str,输入参数,macro_china_new_house_price,中国宏观数据,,1,1,未提供样本值,用于中国宏观数据，出现在1个接口中
city_second,city_second,city_second,str,输入参数,macro_china_new_house_price,中国宏观数据,,1,1,未提供样本值,用于中国宏观数据，出现在1个接口中
coupon_type,coupon_type,coupon_type,str,输入参数,bond_info_cm,中国债券数据,,1,1,未提供样本值,用于中国债券数据，出现在1个接口中
end_time,end_time,end_time,str,输入参数,stock_zh_a_hist_pre_min_em,股票数据,,1,1,未提供样本值,用于股票数据，出现在1个接口中
end_year,end_year,end_year,str,输入参数,stock_zh_ah_daily,股票数据,,1,1,未提供样本值,用于股票数据，出现在1个接口中
flag,flag,flag,str,输入参数,stock_lhb_stock_detail_em,股票数据,,1,1,未提供样本值,用于股票数据，出现在1个接口中
from_page,from_page,from_page,int,输入参数,stock_zh_kcb_report_em,股票数据,,1,1,未提供样本值,用于股票数据，出现在1个接口中
fund,fund,fund,str,输入参数,fund_etf_fund_info_em,基金数据,,1,1,未提供样本值,用于基金数据，出现在1个接口中
grade,grade,grade,str,输入参数,bond_info_cm,中国债券数据,,1,1,未提供样本值,用于中国债券数据，出现在1个接口中
issue_year,issue_year,issue_year,str,输入参数,bond_info_cm,中国债券数据,,1,1,未提供样本值,用于中国债券数据，出现在1个接口中
keyword,keyword,keyword,str,输入参数,stock_zh_a_disclosure_report_cninfo,股票数据,,1,1,未提供样本值,用于股票数据，出现在1个接口中
page,page,page,str,输入参数,bond_debt_nafmii,中国债券数据,,1,1,未提供样本值,用于中国债券数据，出现在1个接口中
quarter,quarter,quarter,str,输入参数,stock_institute_hold_detail,股票数据,,1,1,未提供样本值,用于股票数据，出现在1个接口中
region,region,region,"Union[str, None]",输入参数,macro_china_nbs_region,中国宏观数据,,1,1,未提供样本值,用于中国宏观数据，出现在1个接口中
sector,sector,sector,str,输入参数,stock_sector_detail,股票数据,,1,1,未提供样本值,用于股票数据，出现在1个接口中
sector_type,sector_type,sector_type,str,输入参数,stock_sector_fund_flow_rank,股票数据,,1,1,未提供样本值,用于股票数据，出现在1个接口中
start_time,start_time,start_time,str,输入参数,stock_zh_a_hist_pre_min_em,股票数据,,1,1,未提供样本值,用于股票数据，出现在1个接口中
subscribe_list,subscribe_list,subscribe_list,str,输入参数,futures_zh_spot,期货数据,,1,1,未提供样本值,用于期货数据，出现在1个接口中
to_page,to_page,to_page,int,输入参数,stock_zh_kcb_report_em,股票数据,,1,1,未提供样本值,用于股票数据，出现在1个接口中
underwriter,underwriter,underwriter,str,输入参数,bond_info_cm,中国债券数据,,1,1,未提供样本值,用于中国债券数据，出现在1个接口中
日期,日期,,object,输出参数,stock_zh_a_hist; stock_zh_ah_daily; stock_us_hist; stock_hk_hist; stock_comment_detail_zhpj_lspf_em; stock_hsgt_fund_min_em; stock_hsgt_hold_stock_em; stock_hsgt_hist_em; stock_individual_fund_flow; stock_market_fund_flow; stock_sector_fund_flow_hist; stock_concept_fund_flow_hist; stock_cyq_em; stock_research_report_em; stock_financial_analysis_indicator; stock_hold_management_detail_em; stock_hold_management_person_em; stock_price_js; stock_a_gxl_lg; stock_hk_gxl_lg; stock_ebs_lg; stock_buffett_index_lg; stock_market_pe_lg; stock_index_pe_lg; stock_market_pb_lg; stock_index_pb_lg; stock_margin_account_info; stock_board_concept_index_ths; stock_board_concept_hist_em; stock_board_industry_index_ths; stock_board_industry_hist_em; stock_esg_hz_sina; bond_china_yield; bond_zh_cov_value_analysis; bond_buy_back_hist_em; bond_china_close_return; bond_zh_us_rate; index_zh_a_hist; index_global_hist_em; index_stock_cons_csindex; index_stock_cons_weight_csindex; index_hist_cni; index_detail_cni; index_detail_hist_cni; spot_goods; index_kq_fashion; index_sugar_msweet; index_inner_quote_sugar_msweet; index_outer_quote_sugar_msweet; index_eri; index_price_cflp; index_volume_cflp; stock_zh_index_hist_csindex; index_pmi_com_cx; index_pmi_man_cx; index_pmi_ser_cx; index_dei_cx; index_ii_cx; index_si_cx; index_fi_cx; index_bi_cx; index_nei_cx; index_li_cx; index_ci_cx; index_ti_cx; index_neaw_cx; index_awpr_cx; index_cci_cx; index_qli_cx; index_ai_cx; index_bei_cx; index_neei_cx; stock_zh_index_value_csindex; index_hist_fund_sw; index_hist_sw; index_min_sw; index_news_sentiment_scope; futures_inventory_99; futures_inventory_em; futures_to_spot_shfe; futures_spot_sys; futures_foreign_commodity_realtime; futures_global_hist_em; futures_main_sina; futures_index_ccidx; futures_comex_inventory; index_hog_spot_price; fund_info_index_em; fund_etf_hist_em; fund_lof_hist_em; fund_etf_dividend_sina; fund_open_fund_rank_em; fund_exchange_rank_em; fund_money_rank_em; fund_lcx_rank_em; fund_hk_rank_em; fund_rating_sh; fund_rating_zs; fund_rating_ja; reits_hist_em; macro_china_gdp_yearly; macro_china_cpi_yearly; macro_china_cpi_monthly; macro_china_ppi_yearly; macro_china_exports_yoy; macro_china_imports_yoy; macro_china_trade_balance; macro_china_industrial_production_yoy; macro_china_pmi_yearly; macro_china_cx_pmi_yearly; macro_china_cx_services_pmi_yearly; macro_china_non_man_pmi; macro_china_fx_reserves_yearly; macro_china_m2_yearly; macro_china_new_house_price; macro_china_bank_financing; macro_china_insurance_income; macro_china_mobile_number; macro_china_vegetable_basket; macro_china_agricultural_product; macro_china_agricultural_index; macro_china_energy_index; macro_china_commodity_price_index; macro_global_sox_index; macro_china_yw_electronic_index; macro_china_construction_index; macro_china_construction_price_index; macro_china_lpi_index; macro_china_bdti_index; macro_china_bsi_index; macro_shipping_bci; macro_shipping_bdi; macro_shipping_bpi; macro_shipping_bcti; macro_china_swap_rate; macro_china_real_estate; macro_china_shibor_all; macro_china_hk_market_info; macro_china_daily_energy; macro_china_rmb; macro_china_market_margin_sz; macro_china_market_margin_sh; macro_china_au_report; macro_usa_gdp_monthly; macro_usa_cpi_monthly; macro_usa_core_cpi_monthly; macro_usa_personal_spending; macro_usa_retail_sales; macro_usa_import_price; macro_usa_export_price; macro_usa_lmci; macro_usa_unemployment_rate; macro_usa_job_cuts; macro_usa_non_farm; macro_usa_adp_employment; macro_usa_core_pce_price; macro_usa_real_consumer_spending; macro_usa_trade_balance; macro_usa_current_account; macro_usa_rig_count; macro_usa_ppi; macro_usa_core_ppi; macro_usa_api_crude_stock; macro_usa_pmi; macro_usa_ism_pmi; macro_usa_industrial_production; macro_usa_durable_goods_orders; macro_usa_factory_orders; macro_usa_services_pmi; macro_usa_business_inventories; macro_usa_ism_non_pmi; macro_usa_nahb_house_market_index; macro_usa_house_starts; macro_usa_new_home_sales; macro_usa_building_permits; macro_usa_exist_home_sales; macro_usa_house_price_index; macro_usa_spcs20; macro_usa_pending_home_sales; macro_usa_cb_consumer_confidence; macro_usa_nfib_small_business; macro_usa_michigan_consumer_sentiment; macro_usa_eia_crude_rate; macro_usa_initial_jobless; macro_usa_crude_inner; macro_euro_gdp_yoy; macro_euro_cpi_mom; macro_euro_cpi_yoy; macro_euro_ppi_mom; macro_euro_retail_sales_mom; macro_euro_employment_change_qoq; macro_euro_unemployment_rate_mom; macro_euro_trade_balance; macro_euro_current_account_mom; macro_euro_industrial_production_mom; macro_euro_manufacturing_pmi; macro_euro_services_pmi; macro_euro_zew_economic_sentiment; macro_euro_sentix_investor_confidence; macro_cons_gold; macro_cons_silver; macro_cons_opec_month; macro_euro_lme_holding; macro_euro_lme_stock; macro_usa_cftc_nc_holding; macro_usa_cftc_c_holding; macro_usa_cftc_merchant_currency_holding; macro_usa_cftc_merchant_goods_holding; macro_usa_cme_merchant_goods_holding; news_economic_baidu,股票数据; 中国债券数据; 债券数据; 美国债券数据; 中国指数数据; 指数数据; 期货数据; 基金数据; 基金数据-利率数据; 中国宏观数据; 宏观数据; 美国宏观数据; 欧洲宏观数据,,211,210,,
序号,序号,,int64,输出参数,stock_szse_area_summary; stock_zh_a_spot_em; stock_sh_a_spot_em; stock_sz_a_spot_em; stock_bj_a_spot_em; stock_new_a_spot_em; stock_cy_a_spot_em; stock_kc_a_spot_em; stock_zh_ab_comparison_em; stock_zh_b_spot_em; stock_gsrl_gsdt_em; stock_zh_a_st_em; stock_zh_a_new_em; stock_xgsr_ths; stock_ipo_benefit_ths; stock_zh_a_stop_em; stock_zh_ah_spot_em; stock_us_spot_em; stock_us_pink_spot_em; stock_us_famous_spot_em; stock_hk_spot_em; stock_hk_main_board_spot_em; stock_hk_famous_spot_em; stock_jgdy_tj_em; stock_jgdy_detail_em; stock_gpzy_pledge_ratio_em; stock_gpzy_pledge_ratio_detail_em; stock_gpzy_distribute_statistics_company_em; stock_gpzy_distribute_statistics_bank_em; stock_sy_yq_em; stock_sy_jz_em; stock_sy_em; stock_analyst_rank_em; stock_analyst_detail_em; stock_comment_em; stock_hk_ggt_components_em; stock_hsgt_board_rank_em; stock_hsgt_hold_stock_em; stock_hsgt_sh_hk_spot_em; stock_tfp_em; stock_yjbb_em; stock_yjkb_em; stock_yjyg_em; stock_yysj_em; stock_zcfz_em; stock_zcfz_bj_em; stock_lrb_em; stock_xjll_em; stock_fund_flow_individual; stock_fund_flow_concept; stock_fund_flow_industry; stock_individual_fund_flow_rank; stock_sector_fund_flow_rank; stock_main_fund_flow; stock_sector_fund_flow_summary; stock_zdhtmx_em; stock_research_report_em; stock_gdfx_free_holding_change_em; stock_gdfx_holding_change_em; stock_gdfx_free_holding_analyse_em; stock_gdfx_holding_analyse_em; stock_gdfx_free_holding_detail_em; stock_gdfx_holding_detail_em; stock_gdfx_free_holding_statistics_em; stock_gdfx_holding_statistics_em; stock_gdfx_free_holding_teamwork_em; stock_gdfx_holding_teamwork_em; stock_ipo_review_em; stock_ipo_tutor_em; stock_restricted_release_summary_em; stock_restricted_release_detail_em; stock_restricted_release_queue_em; stock_restricted_release_stockholder_em; stock_staq_net_stop; stock_report_fund_hold; stock_report_fund_hold_detail; stock_lhb_detail_em; stock_lhb_stock_statistic_em; stock_lhb_jgmmtj_em; stock_lhb_jgstatistic_em; stock_lhb_hyyyb_em; stock_lhb_yyb_detail_em; stock_lhb_yybph_em; stock_lhb_traderstatistic_em; stock_lhb_stock_detail_em; stock_lh_yyb_most; stock_lh_yyb_capital; stock_lh_yyb_control; stock_lhb_detail_daily_sina; stock_ipo_declare_em; stock_register_all_em; stock_register_kcb; stock_register_cyb; stock_register_sh; stock_register_sz; stock_register_bj; stock_register_db; stock_repurchase_em; stock_dzjy_sctj; stock_dzjy_mrmx; stock_dzjy_mrtj; stock_dzjy_hygtj; stock_dzjy_hyyybtj; stock_dzjy_yybph; stock_yzxdr_em; stock_profit_forecast_em; stock_board_concept_cons_em; stock_board_industry_summary_ths; stock_board_industry_cons_em; stock_zt_pool_em; stock_zt_pool_previous_em; stock_zt_pool_strong_em; stock_zt_pool_sub_new_em; stock_zt_pool_zbgc_em; stock_zt_pool_dtgc_em; stock_rank_cxfl_ths; stock_rank_cxsl_ths; stock_rank_xstp_ths; stock_rank_xxtp_ths; stock_rank_ljqs_ths; stock_rank_ljqd_ths; stock_rank_xzjp_ths; bond_cov_comparison; bond_sh_buy_back_em; bond_sz_buy_back_em; stock_zh_index_spot_em; stock_hk_index_spot_em; index_global_spot_em; sw_index_third_cons; index_component_sw; futures_global_spot_em; futures_comex_inventory; fund_purchase_em; fund_etf_category_ths; fund_etf_spot_ths; fund_financial_fund_daily_em; fund_fh_em; fund_cf_em; fund_fh_rank_em; fund_open_fund_rank_em; fund_exchange_rank_em; fund_money_rank_em; fund_lcx_rank_em; fund_hk_rank_em; fund_value_estimation_em; fund_portfolio_hold_em; fund_portfolio_bond_hold_em; fund_portfolio_industry_allocation_em; fund_portfolio_change_em; fund_manager_em; fund_scale_open_sina; fund_scale_close_sina; fund_scale_structured_sina; fund_etf_scale_sse; fund_aum_em; fund_aum_hist_em; reits_realtime_em; fund_report_stock_cninfo; fund_scale_change_em; fund_hold_structure_em; amac_person_fund_org_list; amac_person_bond_org_list,股票数据; 债券数据; 指数数据; 期货数据; 基金数据; 基金数据-利率数据; 中国基金数据,1,163,162,,
